Word	Word-2	Word-1	Word+1	Word+2	Tag
Σαν	NULL	NULL	κλιματιστικό	δουλεύει	O
κλιματιστικό	NULL	Σαν	δουλεύει	μια	O
δουλεύει	Σαν	κλιματιστικό	μια	χαρά	O
μια	κλιματιστικό	δουλεύει	χαρά	.	O
χαρά	δουλεύει	μια	.	NULL	O
.	μια	χαρά	NULL	NULL	O
Αλλά	NULL	NULL	...	NULL	O
...	NULL	Αλλά	NULL	NULL	O
Ο	NULL	NULL	ανεμιστήρας	του	O
ανεμιστήρας	NULL	Ο	του	έχει	O
του	Ο	ανεμιστήρας	έχει	μόνο	O
έχει	ανεμιστήρας	του	μόνο	τρεις	O
μόνο	του	έχει	τρεις	σκάλες	O
τρεις	έχει	μόνο	σκάλες	!	O
σκάλες	μόνο	τρεις	!	NULL	O
!	τρεις	σκάλες	NULL	NULL	O
Και	NULL	NULL	στην	πρώτη	O
στην	NULL	Και	πρώτη	κάνει	O
πρώτη	Και	στην	κάνει	τόσο	O
κάνει	στην	πρώτη	τόσο	θόρυβο	O
τόσο	πρώτη	κάνει	θόρυβο	που	O
θόρυβο	κάνει	τόσο	που	εγώ	O
που	τόσο	θόρυβο	εγώ	δεν	O
εγώ	θόρυβο	που	δεν	μπορώ	O
δεν	που	εγώ	μπορώ	να	B-NG
μπορώ	εγώ	δεν	να	κοιμηθώ	I-NG
να	δεν	μπορώ	κοιμηθώ	.	O
κοιμηθώ	μπορώ	να	.	NULL	O
.	να	κοιμηθώ	NULL	NULL	O
Έχω	NULL	NULL	δει	πολλά	O
δει	NULL	Έχω	πολλά	κλιματιστικά	O
πολλά	Έχω	δει	κλιματιστικά	που	O
κλιματιστικά	δει	πολλά	που	είναι	O
που	πολλά	κλιματιστικά	είναι	όντως	O
είναι	κλιματιστικά	που	όντως	αθόρυβα	O
όντως	που	είναι	αθόρυβα	.	O
αθόρυβα	είναι	όντως	.	NULL	O
.	όντως	αθόρυβα	NULL	NULL	O
Αυτό	NULL	NULL	δυστυχώς	δεν	O
δυστυχώς	NULL	Αυτό	δεν	είναι	O
δεν	Αυτό	δυστυχώς	είναι	.	B-NG
είναι	δυστυχώς	δεν	.	NULL	I-NG
.	δεν	είναι	NULL	NULL	O
Το	NULL	NULL	έχω	δοκιμάσει	O
έχω	NULL	Το	δοκιμάσει	και	O
δοκιμάσει	Το	έχω	και	σε	O
και	έχω	δοκιμάσει	σε	mute	O
σε	δοκιμάσει	και	mute	που	O
mute	και	σε	που	υποτίθεται	O
που	σε	mute	υποτίθεται	είναι	O
υποτίθεται	mute	που	είναι	τελείως	O
είναι	που	υποτίθεται	τελείως	αθόρυβα	O
τελείως	υποτίθεται	είναι	αθόρυβα	.	O
αθόρυβα	είναι	τελείως	.	NULL	O
.	τελείως	αθόρυβα	NULL	NULL	O
Μπα	NULL	NULL	..	NULL	O
..	NULL	Μπα	NULL	NULL	O
Η	NULL	NULL	εξωτερική	μονάδα	O
εξωτερική	NULL	Η	μονάδα	μέσα	O
μονάδα	Η	εξωτερική	μέσα	στο	O
μέσα	εξωτερική	μονάδα	στο	δωμάτιο	O
στο	μονάδα	μέσα	δωμάτιο	δεν	O
δωμάτιο	μέσα	στο	δεν	ακούγεται	O
δεν	στο	δωμάτιο	ακούγεται	(	B-NG
ακούγεται	δωμάτιο	δεν	(	από	I-NG
(	δεν	ακούγεται	από	τον	O
από	ακούγεται	(	τον	θόρυβο	O
τον	(	από	θόρυβο	που	O
θόρυβο	από	τον	που	κάνει	O
που	τον	θόρυβο	κάνει	)	O
κάνει	θόρυβο	που	)	.	O
)	που	κάνει	.	NULL	O
.	κάνει	)	NULL	NULL	O
Στον	NULL	NULL	διπλανό	όμως	O
διπλανό	NULL	Στον	όμως	ακούγεται	O
όμως	Στον	διπλανό	ακούγεται	ένα	O
ακούγεται	διπλανό	όμως	ένα	βούισμα	O
ένα	όμως	ακούγεται	βούισμα	του	O
βούισμα	ακούγεται	ένα	του	μοτέρ	O
του	ένα	βούισμα	μοτέρ	.	O
μοτέρ	βούισμα	του	.	NULL	O
.	του	μοτέρ	NULL	NULL	O
Με	NULL	NULL	κλειστά	παράθυρα	O
κλειστά	NULL	Με	παράθυρα	εννοείται	O
παράθυρα	Με	κλειστά	εννοείται	.	O
εννοείται	κλειστά	παράθυρα	.	NULL	O
.	παράθυρα	εννοείται	NULL	NULL	O
Το	NULL	NULL	τηλεχειριστήριο	δεν	O
τηλεχειριστήριο	NULL	Το	δεν	έχει	O
δεν	Το	τηλεχειριστήριο	έχει	φωτιζόμενη	B-NG
έχει	τηλεχειριστήριο	δεν	φωτιζόμενη	οθόνη	I-NG
φωτιζόμενη	δεν	έχει	οθόνη	.	O
οθόνη	έχει	φωτιζόμενη	.	NULL	O
.	φωτιζόμενη	οθόνη	NULL	NULL	O
Πρέπει	NULL	NULL	να	ανάψετε	O
να	NULL	Πρέπει	ανάψετε	το	O
ανάψετε	Πρέπει	να	το	φως	O
το	να	ανάψετε	φως	για	O
φως	ανάψετε	το	για	να	O
για	το	φως	να	βλέπετε	O
να	φως	για	βλέπετε	.	O
βλέπετε	για	να	.	NULL	O
.	να	βλέπετε	NULL	NULL	O
Οι	NULL	NULL	περσίδες	δεν	O
περσίδες	NULL	Οι	δεν	στέκονται	O
δεν	Οι	περσίδες	στέκονται	.	B-NG
στέκονται	περσίδες	δεν	.	NULL	I-NG
.	δεν	στέκονται	NULL	NULL	O
Κάθε	NULL	NULL	φορά	θέλουν	O
φορά	NULL	Κάθε	θέλουν	ρύθμιση	O
θέλουν	Κάθε	φορά	ρύθμιση	.	O
ρύθμιση	φορά	θέλουν	.	NULL	O
.	θέλουν	ρύθμιση	NULL	NULL	O
Και	NULL	NULL	να	μην	O
να	NULL	Και	μην	ξεχάσω	O
μην	Και	να	ξεχάσω	ένα	B-NG
ξεχάσω	να	μην	ένα	θερμό	I-NG
ένα	μην	ξεχάσω	θερμό	ευχαριστώ	O
θερμό	ξεχάσω	ένα	ευχαριστώ	για	O
ευχαριστώ	ένα	θερμό	για	τα	O
για	θερμό	ευχαριστώ	τα	τεράστια	O
τα	ευχαριστώ	για	τεράστια	αυτοκόλλητα	O
τεράστια	για	τα	αυτοκόλλητα	!	O
αυτοκόλλητα	τα	τεράστια	!	NULL	O
!	τεράστια	αυτοκόλλητα	NULL	NULL	O
Πανί	NULL	NULL	COMMA	οινόπνευμα	O
COMMA	NULL	Πανί	οινόπνευμα	και	O
οινόπνευμα	Πανί	COMMA	και	δέκα	O
και	COMMA	οινόπνευμα	δέκα	λεπτά	O
δέκα	οινόπνευμα	και	λεπτά	σκληρής	O
λεπτά	και	δέκα	σκληρής	εργασίας	O
σκληρής	δέκα	λεπτά	εργασίας	και	O
εργασίας	λεπτά	σκληρής	και	όλα	O
και	σκληρής	εργασίας	όλα	καλά	O
όλα	εργασίας	και	καλά	.	O
καλά	και	όλα	.	NULL	O
.	όλα	καλά	NULL	NULL	O
Αλλά	NULL	NULL	γιατί	;	O
γιατί	NULL	Αλλά	;	Μήπως	O
;	Αλλά	γιατί	Μήπως	κάποιος	O
Μήπως	γιατί	;	κάποιος	τα	O
κάποιος	;	Μήπως	τα	έχει	O
τα	Μήπως	κάποιος	έχει	αφήσει	O
έχει	κάποιος	τα	αφήσει	στο	O
αφήσει	τα	έχει	στο	σπίτι	O
στο	έχει	αφήσει	σπίτι	του	O
σπίτι	αφήσει	στο	του	?	O
του	στο	σπίτι	?	NULL	O
?	σπίτι	του	NULL	NULL	O
Τώρα	NULL	NULL	που	έχει	O
που	NULL	Τώρα	έχει	πιάσει	O
έχει	Τώρα	που	πιάσει	ζέστη	O
πιάσει	που	έχει	ζέστη	το	O
ζέστη	έχει	πιάσει	το	έχω	O
το	πιάσει	ζέστη	έχω	βάλει	O
έχω	ζέστη	το	βάλει	full	O
βάλει	το	έχω	full	fan	O
full	έχω	βάλει	fan	με	O
fan	βάλει	full	με	20	O
με	full	fan	20	βαθμούς	O
20	fan	με	βαθμούς	.	O
βαθμούς	με	20	.	NULL	O
.	20	βαθμούς	NULL	NULL	O
Θόρυβος	NULL	NULL	;	Όχι	O
;	NULL	Θόρυβος	Όχι	...	O
Όχι	Θόρυβος	;	...	NULL	B-NG
...	;	Όχι	NULL	NULL	O
ΘΌΡΥΒΟΣ	NULL	NULL	!	!	O
!	NULL	ΘΌΡΥΒΟΣ	!	!	O
!	ΘΌΡΥΒΟΣ	!	!	NULL	O
!	!	!	NULL	NULL	O
Είχαμε	NULL	NULL	σοβαρή	κουβέντα	O
σοβαρή	NULL	Είχαμε	κουβέντα	με	O
κουβέντα	Είχαμε	σοβαρή	με	τον	O
με	σοβαρή	κουβέντα	τον	γείτονα	O
τον	κουβέντα	με	γείτονα	.	O
γείτονα	με	τον	.	NULL	O
.	τον	γείτονα	NULL	NULL	O
Και	NULL	NULL	έχει	δίκαιο	O
έχει	NULL	Και	δίκαιο	.	O
δίκαιο	Και	έχει	.	NULL	O
.	έχει	δίκαιο	NULL	NULL	O
Για	NULL	NULL	μία	ήσυχη	O
μία	NULL	Για	ήσυχη	γειτονιά	O
ήσυχη	Για	μία	γειτονιά	αυτό	O
γειτονιά	μία	ήσυχη	αυτό	δεν	O
αυτό	ήσυχη	γειτονιά	δεν	κάνει	O
δεν	γειτονιά	αυτό	κάνει	.	B-NG
κάνει	αυτό	δεν	.	NULL	I-NG
.	δεν	κάνει	NULL	NULL	O
Πάρτε	NULL	NULL	κάτι	άλλο	O
κάτι	NULL	Πάρτε	άλλο	.	O
άλλο	Πάρτε	κάτι	.	NULL	O
.	κάτι	άλλο	NULL	NULL	O
Update	NULL	NULL	.	NULL	O
.	NULL	Update	NULL	NULL	O
Πέρασε	NULL	NULL	ένας	μήνας	O
ένας	NULL	Πέρασε	μήνας	.	O
μήνας	Πέρασε	ένας	.	NULL	O
.	ένας	μήνας	NULL	NULL	O
Είμαι	NULL	NULL	έτοιμος	να	O
έτοιμος	NULL	Είμαι	να	το	O
να	Είμαι	έτοιμος	το	πετάξω	O
το	έτοιμος	να	πετάξω	στα	O
πετάξω	να	το	στα	σκουπίδια	O
στα	το	πετάξω	σκουπίδια	.	O
σκουπίδια	πετάξω	στα	.	NULL	O
.	στα	σκουπίδια	NULL	NULL	O
Το	NULL	NULL	πήρα	και	O
πήρα	NULL	Το	και	για	O
και	Το	πήρα	για	τον	O
για	πήρα	και	τον	χειμώνα	O
τον	και	για	χειμώνα	.	O
χειμώνα	για	τον	.	NULL	O
.	τον	χειμώνα	NULL	NULL	O
Δηλαδή	NULL	NULL	θα	δουλέψει	O
θα	NULL	Δηλαδή	δουλέψει	συνέχεια	O
δουλέψει	Δηλαδή	θα	συνέχεια	.	O
συνέχεια	θα	δουλέψει	.	NULL	O
.	δουλέψει	συνέχεια	NULL	NULL	O
Αλλά	NULL	NULL	με	τέτοιο	O
με	NULL	Αλλά	τέτοιο	θόρυβο	O
τέτοιο	Αλλά	με	θόρυβο	δεν	O
θόρυβο	με	τέτοιο	δεν	μπορώ	O
δεν	τέτοιο	θόρυβο	μπορώ	ούτε	B-NG
μπορώ	θόρυβο	δεν	ούτε	να	I-NG
ούτε	δεν	μπορώ	να	κοιμηθώ	B-NG
να	μπορώ	ούτε	κοιμηθώ	ούτε	I-NG
κοιμηθώ	ούτε	να	ούτε	να	I-NG
ούτε	να	κοιμηθώ	να	κάτσω	B-NG
να	κοιμηθώ	ούτε	κάτσω	στο	I-NG
